id|platforms|genres|rating|title|url|star|content|author|n_ratings|cover
10741155|GBA|游戏 / 角色扮演 / 动作|9.5|塞尔达传说：缩小帽 ゼルダの伝説 ふしぎのぼうし|https://www.douban.com/game/10741155/|50|我是真的嫉妒任天堂。横版过关类型的《银河战士》里的关卡迷宫化设计和道具收集系统等诸多设计理念放到ARPG类型的《塞尔达传说》里却仍然适用，不，应该说是比《银河战士》更适用。迷宫设计的精巧和适时的变大变小的创意先放一边，单是对幸福碎片的收集，就足够让玩家忙上半天。“会有好事发生吗？”当然了，还有比玩到这种好游戏更好的事吗？果然，我还是嫉妒任天堂。|残响死灭|1125|https://img1.doubanio.com/lpic/s28398578.jpg
10734307|PC / Mac / PS3 / Xbox 360 / Linux|游戏 / 第一人称射击 / 益智 / 射击 / 动作|9.5|传送门 2 Portal 2|https://www.douban.com/game/10734307/|50|靠玩这个双人模式把了个妹。。|风过初凉|3016|https://img1.doubanio.com/lpic/s9090498.jpg
10767584|PC / PS3 / Xbox 360|游戏 / 角色扮演 / 冒险 / 动作|9.5|黑暗之魂 Dark Souls|https://www.douban.com/game/10767584/|50|结晶洞穴那里，在线模式，可以看到原来隐形的路被以前的玩家用留言铺出来了。一直只有很少几个npc的世界一下子变得特别特别感动|百舌之宴|1505|https://img1.doubanio.com/lpic/s27230838.jpg
26367960|PSV/PS Vita|游戏 / 角色扮演 / 动作|9.4|胧村正DLC第三弹 白蛇 元禄怪奇譚－七夜祟妖魔忍伝|https://www.douban.com/game/26367960/|50|香草社的翻身之作 只能说 真的很棒|visval|32|https://img3.doubanio.com/lpic/s29237782.jpg
26347117|PC / Mac / Linux|游戏 / 模拟 / 角色扮演 / 策略 / 动作|9.4|骑马与砍杀：战团 Mount & Blade: Warband|https://www.douban.com/game/26347117/|50|每个男人的心中都有一个戎马生涯的梦|玩世不恭|1529|https://img3.doubanio.com/lpic/s28047476.jpg
26417347|PC / PS4 / Xbox One|游戏 / 角色扮演 / 冒险 / 动作|9.4|黑暗之魂3  Dark Souls III|https://www.douban.com/game/26417347/|50|还记得那天午后。表哥走过来说我给你介绍一款割草无双类游戏吧。。。。|ssssss|3941|https://img3.doubanio.com/lpic/s29744205.jpg
10787895|FC/NES/红白机|游戏 / 角色扮演 / 体育 / 策略 / 动作|9.4|热血新纪录 びっくり熱血新記録！はるかなる金メダル|https://www.douban.com/game/10787895/|50|FC时代真正可以4人同乐的游戏，小学时代和好机友聚在一起时玩这游戏是固定娱乐之一。|玩酷子弟|654|https://img1.doubanio.com/lpic/s29462198.jpg
26817284|PS4|游戏 / 冒险 / 动作|9.4|战神 God of War|https://www.douban.com/game/26817284/|50|“儿子射死它！”“儿子救我！”“儿子快来翻译翻译！”“儿子你真棒～”“老子去踩血，儿子你先顶着。”“儿子你很臭屁哎！”“不准动我儿子！！！”……——《傲娇老父亲与战神儿子之亲自送妈大冒险回忆录》|一念無明|3379|https://img1.doubanio.com/lpic/s29521388.jpg
11620741|PC / PS4 / PS3|游戏 / 冒险 / 动作|9.4|风之旅人 Journey|https://www.douban.com/game/11620741/|50|游戏太棒了！就是傻屌如我以为突然出现的小伙伴是电脑自带的(･᷄ὢ･᷅)直到玩完收到对方给我发来的消息说一起度过了美妙的时光。一脸懵逼过了很久才反应过来…(⌯᷄௰⌯᷅)|多窜君|4486|https://img3.doubanio.com/lpic/s28395460.jpg
25931998|PC / PS4 / Xbox One|游戏 / 角色扮演 / 冒险 / 动作|9.4|赛博朋克 2077 Cyberpunk 2077|https://www.douban.com/game/25931998/|50|2077年，媒体公布最受期待游戏:《赛博朋克2077》《对马岛之鬼》《死亡搁浅》《骑砍2》《上古卷轴6》《半条命3》|叶湫忆|62|https://img3.doubanio.com/lpic/s29797324.jpg
20499450|PC / PS3 / Xbox 360|游戏 / 冒险 / 动作|9.4|生化奇兵：无限 BioShock: Infinite|https://www.douban.com/game/20499450/|50|这个游戏一开始玩的破解版，玩到一半，我把游戏删掉了😔，并非是因为不好玩，而是因为我要去steam买正版|吾三省|3273|https://img1.doubanio.com/lpic/s26018737.jpg
10754254|Xbox One / PS3 / Xbox 360 / PS2 / PSV/PS Vita / 3DS|游戏 / 射击 / 动作|9.4|合金装备索利德3：食蛇者 Metal Gear Solid 3: Snake Eater|https://www.douban.com/game/10754254/|50|"发现掌机上big boss做主角的作品最多，big boss明明也算是个恐怖主义分子的，可是掌机上的作品频繁在美化这个人物。
明白mgs3里面的上校，医疗武器专家们当初也没什么，貌似他们都是被big boss带坏的，发现山猫年轻时还真是青涩,和后期的白色长发酷老头相比力场差很多。"|longlong|619|https://img3.doubanio.com/lpic/s9122102.jpg
11611393|PS3 / Xbox 360|游戏 / 射击 / 角色扮演 / 冒险 / 动作|9.4|荒野大镖客：救赎 Red Dead Redemption|https://www.douban.com/game/11611393/|50|R 星用一己之力把整个游戏产业向前推了一个世代。|怀念小红莓|906|https://img1.doubanio.com/lpic/s11168247.jpg
10787897|FC/NES/红白机|游戏 / 乱斗/清版 / 格斗 / 角色扮演 / 动作|9.4|热血格斗传说 熱血格闘伝説|https://www.douban.com/game/10787897/|50|两个老虎BOSS最萌了~小时候玩的我手磨出个大泡|疯狂の夏虫|864|https://img3.doubanio.com/lpic/s28385683.jpg
